Session ID,Date,Day,Start Time,End Time,Task Type,App Switch Count,Distraction Duration (mins),Total Focus Duration (mins),Focus Score (0-10),Productivity %
332,17-03-2025,Monday,07:59,09:44,others,3,5,86,5,94.51
333,18-03-2025,Tuesday,17:43,18:55,others,0,1,70,3,98.59
334,18-03-2025,Tuesday,13:43,14:45,studying,2,4,47,8,92.16
335,18-03-2025,Tuesday,09:28,11:10,reading,2,1,101,10,99.02
336,19-03-2025,Wednesday,10:51,12:29,others,3,14,61,8,81.33
337,19-03-2025,Wednesday,21:44,22:53,reading,3,3,65,5,95.59
338,20-03-2025,Thursday,18:42,19:38,reading,0,15,22,7,59.46
339,21-03-2025,Friday,20:51,21:25,others,0,16,14,4,46.67
340,22-03-2025,Saturday,14:55,15:49,studying,0,33,12,2,26.67
341,22-03-2025,Saturday,13:56,15:22,coding,3,3,82,4,96.47
342,22-03-2025,Saturday,08:34,10:18,coding,3,47,45,3,48.91
343,23-03-2025,Sunday,17:04,17:52,coding,1,3,36,10,92.31
344,23-03-2025,Sunday,20:45,22:39,others,2,0,102,5,100
345,23-03-2025,Sunday,10:37,11:11,studying,3,6,25,2,80.65
346,24-03-2025,Monday,15:05,16:55,others,0,6,99,2,94.29
347,25-03-2025,Tuesday,20:05,22:04,reading,2,55,44,3,44.44
348,25-03-2025,Tuesday,19:33,21:23,writing,1,0,107,6,100
349,26-03-2025,Wednesday,18:24,19:24,writing,3,0,48,5,100
350,27-03-2025,Thursday,19:30,20:02,others,3,6,26,8,81.25
351,27-03-2025,Thursday,11:40,13:13,writing,0,4,86,9,95.56
352,28-03-2025,Friday,06:49,07:34,writing,0,6,38,1,86.36
353,29-03-2025,Saturday,18:47,19:18,reading,3,0,30,5,100
354,29-03-2025,Saturday,07:52,09:15,studying,1,29,41,9,58.57
355,29-03-2025,Saturday,10:16,11:10,writing,2,3,24,5,88.89
356,30-03-2025,Sunday,15:45,16:34,others,0,7,24,8,77.42
357,30-03-2025,Sunday,11:01,12:15,coding,0,2,66,6,97.06
358,31-03-2025,Monday,07:39,09:13,reading,0,11,70,1,86.42
359,31-03-2025,Monday,10:11,12:03,studying,2,7,105,1,93.75
360,31-03-2025,Monday,16:00,16:49,others,3,2,39,1,95.12
